Tweet_count,Keyword,Username,Text,Created At,Retweets,Likes
1,Colombo Stock Market,SEC SL - Capital Market Development & Awareness,"What’s new at the Colombo Stock Exchange? 💬
In this exciting episode of Capital Market Insights, we had an engaging conversation with Renuke Wijayawardhane, Chief Regulatory Officer at the CSE. He breaks down the latest developments that are reshaping Sri Lanka's capital market! https://t.co/dLDNcFN3jC",Mon Feb 10 04:09:40 +0000 2025,5,45
2,Colombo Stock Market,SEC SL - Capital Market Development & Awareness,"In this episode of Capital Market Insights, Renuke Wijayawardhane, Chief Regulatory Officer at the Colombo Stock Exchange, dives deep into the importance of disclosure of information and how it powers a well-functioning market. 📊

💡 Find out how the CSE is:
✅ Enhancing https://t.co/r3V1vodkJz",Thu Feb 13 06:24:51 +0000 2025,1,3
3,Colombo Stock Market,Market News🇱🇰,"#SriLanka's Colombo Port City to get $450-500 million investments from identified investors in the next 3 to 4 years -Dep Managing Director
-SO https://t.co/KvinrHORaL",Sun Feb 16 16:11:25 +0000 2025,9,133
4,Colombo Stock Market,Bloomberg Línea Colombia,"🇨🇴 Luego de la victoria electoral de @petrogustavo, el MSCI Colcap, el principal indicador de la Bolsa de Valores de #Colombia, mostró su peor caída desde 2020: 3,82%.

Este 21 de junio, este mercado tuvo la peor caída de América Latina y del mundo: https://t.co/dAJb5ejwpx https://t.co/mkek4rl3Vq",Wed Jun 22 01:10:00 +0000 2022,476,652
5,Colombo Stock Market,EconomyNext Sri Lanka,"Sri Lanka stocks closed 1.3 percent stronger on Monday amidst Sri Lanka budget presentation, brokers said.

https://t.co/eDHoW3ldtU",Mon Feb 17 11:52:10 +0000 2025,1,3
6,Colombo Stock Market,Vineeth K,"Ola 60% down
Cochin Shipyards 58% down 

Some companies upto 80% down. 

This is the reality of stockmarkets. Money will erode if you dont pay attention to the quality and the price

#Investing https://t.co/lCNGMRhz52",Mon Feb 17 03:09:33 +0000 2025,10,105
7,Colombo Stock Market,Market News🇱🇰,"#SriLanka's EPF has made capital gains of Rs.21 billion on its investments in the Colombo Stock Exchange (CSE) up to 30-Sep-24

The market value of its investments in CSE as at 30-Sep-24 amounted to Rs.110 billion
-Esana

From 30-Sep-24 to-date CSE's ASPI has gained a further 34% https://t.co/HHQVQNphxy",Fri Jan 10 13:23:54 +0000 2025,5,53
8,Colombo Stock Market,Dasuni Athauda,"#Colombo as at 11.40 AM: 

- Few vehicles on the road 
- Shops closed 
- Curfew in effect 
- People lining up at fuel queues 

📍: Near Havelock City 

#lka #SriLankaCrisis #SriLankaprotest 
#SriLankaEconomicCrisis https://t.co/oZBR84QfZG",Tue May 10 06:24:54 +0000 2022,28,215
9,Colombo Stock Market,Market News🇱🇰,"#SriLanka's Employees Provident Fund (EPF) has made a mark-to-mark gain of Rs.60 billion from its investments in stocks at the Colombo Stock Exchange during the 3-months ending Dec-2024

Less than 3% of the fund is allocated to listed &amp; unlisted equities
-Almas Equities Research https://t.co/iX6whdJdBa",Wed Jan 22 15:03:51 +0000 2025,7,68
10,Sri Lanka Economy,Chennai Updates,"Look at the waterfront of the capital city of a ~85Bn Economy Country. Mighty impressed by their urban planning! 
📍Colombo, Sri Lanka https://t.co/IVRXBBG7hp",Sun Jan 12 07:12:15 +0000 2025,124,1575
11,Sri Lanka Economy,Sejal Sud,"Sri Lanka was once the fastest growing economy in Asia.

Now the country is in a debt of more than $50 billion.

THREAD: The fall of the Sri Lankan economy and the reasons behind it.
🧵👇 https://t.co/7DoViu4U2m",Wed May 11 06:20:47 +0000 2022,2767,8005
12,Sri Lanka Economy,isa⚡️,"Sri Lanka is $51 billion in debt to the IMF, World Bank and China. They even had to rent one of their primary ports to china for 99 years to repay a debt. 

This is what happens when you let people print whatever money they please. 

#Bitcoin can fix this. 

That is why they have https://t.co/ndTnNEcCwz",Wed Oct 30 13:27:05 +0000 2024,77,660
13,Sri Lanka Economy,Street Frontier,"With countries like Sri Lanka and some South east asian countries dropping visa restrictions, more Indians are realizing how badly planned our cities are.

Earlier, people would visit Dubai, Europe, and the US and return with a strong belief that those cities were the result of",Sun Jan 12 12:32:20 +0000 2025,646,5585
14,Sri Lanka Economy,Sri Lanka Tweet 🇱🇰,"Sri Lanka secures a historic US$ 3.7 Billion FDI during President Anura Kumara Dissanayake's China visit, paving the way for a 200,000-barrel oil refinery in Hambantota by Sinopec, set to boost exports &amp; transform the economy. 🇨🇳🇱🇰
#LKA #SriLanka 
US$ 3.7 Billion Foreign Direct https://t.co/qXs0rt7ZWh",Thu Jan 16 08:43:47 +0000 2025,24,192
15,Sri Lanka Economy,Heisenberg ☢,CSK blood Nathan Ellis picked up two wickets and two maidens and gave away just 23 runs at an economy of 2.6 against Sri Lanka. https://t.co/vOxCyalwU8,Wed Feb 12 09:09:54 +0000 2025,57,1690
16,Sri Lanka Economy,Sejal Sud,"Sri Lanka is not some small, incapable country that landed itself here.

Sri Lanka was the fastest growing economy in all of Asia.

Per capita of Sri Lanka in 2018 was $ 4059

India - $ 1997

Pakistan - $ 1482 https://t.co/GAaNSCiboV",Wed May 11 06:20:49 +0000 2022,68,456
17,Sri Lanka Economy,Exactpro,"We were happy to host the visiting team from @JPX_official_EN led by Hiyoshi Mihara (General Management) in a joint meeting with Sachindra Samararatne, Associate Chief Digital Economy Officer of @icta_srilanka. The group had an insightful discussion on Sri Lanka’s digital economy https://t.co/o2spkkcTqj",Thu Dec 19 08:32:23 +0000 2024,2,3
18,Sri Lanka Economy,Al Jazeera English,"For years, relations between residents and Israeli visitors in Sri Lanka had been cordial as the influx contributed to economy. But cracks in this dynamic are now visible. 

 Read more: https://t.co/EMmJFsDo4U https://t.co/UNPpYh36HB",Mon Feb 17 07:52:06 +0000 2025,86,216
19,CSE Updates,Cyber Detective💙💛,"Pastebin search tips

1. Search by keywords in archive org collection search https://t.co/hF6FHuBc8P (last update 2023)
2. Search fresh pastes links in https://t.co/m8e8a0u9OH
3. Search in Pastebin and dozens other paste sites with this Google CSE:

https://t.co/bvcmtdZZxt https://t.co/kxebyGmVO0",Sun Jan 26 17:49:27 +0000 2025,40,101
20,CSE Updates,Shekhar Dutt,"UPSC CSE-2025 Notification Out

979 posts
Optional Stays
Last Date - 11th Feb

Serious aspirants, it’s time ✊ https://t.co/5sOhc9BcNr",Wed Jan 22 07:55:50 +0000 2025,68,1311
21,CSE Updates,JJAEYONGPH 🌹🍑,"[UPDATE]

The registration period for our JAEYONG CSE is officially closed.

Thank u to all who registered! We'll continue to post updates here on our twt acct. 

We'll no longer accept changes or cancellation with your orders except those who ordered the lightstick. 

Thank u! https://t.co/uDEqhOtEmD",Mon Feb 17 00:07:46 +0000 2025,0,1
22,CSE Updates,Kick-off to Summer: Blue Lock PH CSE,"🌟 ARTIST SPOTLIGHT 🎨

Sun, Sweat &amp; Strikers! 🔥⚽

@hueirin turns up the heat with their art! From beachside showdowns to poolside cool-downs, every piece is a masterpiece. 🏝️

Show them some love &amp; stay tuned for more updates ⛱️🍉

#KickOffSummerCSE
#BLUELOCK https://t.co/KqpcORYgl9",Sun Feb 02 10:30:00 +0000 2025,5,17
23,CSE Updates,Vikas Dhayal,"Aaditya Narayan vs Union of India and Others: 

Today the High Court of MP has directed UPSC to allow age relaxation to EWS candidates for the CSE form!

The High Court Notice says that the appointment of the candidates getting age relaxations will be subject to final orders? https://t.co/RFqvA9AdJq",Fri Feb 14 16:51:02 +0000 2025,3,14
24,CSE Updates,Center for Sex Ed,"👀 our Executive Director Bill Taverner presenting with Sam Borbon (not pictured) at the 2024 National Sex Ed Conference about their work to update the CSE manual Older, Wiser, Sexually Smarter.

Stay tuned for more info about the updates to this manual! https://t.co/AmJXh52nz0",Mon Jan 27 17:22:00 +0000 2025,0,2
25,CSE Updates,CSE @ UOM,"Big things are planned on the CSE horizon...Exciting updates ahead. 🔥

#DebugDiaries #Discussion #Podcast #Technology #CSE https://t.co/Ho6aSuL4wl",Sun Jan 19 13:30:00 +0000 2025,0,7
26,CSE Updates,John Keells Stock Brokers,"Thank you for trusting us to keep you ahead in the market. Here’s to more updates, insights, and smarter investing together!

#JKSB #SL #Investing #CSE https://t.co/EOMlYBAiA6",Thu Jan 23 07:07:33 +0000 2025,2,5
27,CSE Updates,MarketSmart,🗞️ NEWS -- Galloper Gold (CSE: $BOOM) (OTC: $GGDCF) provide an exploration update as the Company continues to advance its assets in Newfoundland. The Company has completed its early-stage investigation of an unexplored VTEM anomaly on the western side of its Glover Island https://t.co/pumiW7SK8m,Thu Feb 13 14:03:40 +0000 2025,5,5
